what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509212250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509212761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509213749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509214080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509214605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509214933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509215466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509215776
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1411509217672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509226893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509232310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1411509272326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411509274778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509338572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509339044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509339473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509339892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509340207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509340680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509341089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509341530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509341841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509342256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509342688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509343068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509343439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509343834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509344178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509345186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509345558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509345890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509346185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509346571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509346927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509347233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509347588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509347886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509348162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509348451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509348691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509348951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509349216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509349483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509349727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509350052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509350738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509351170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509351695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509352080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509352523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509352904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509353279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509353679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509354220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509354649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509355054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509355361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509355771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509356099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509356655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509356930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509360302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509360736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411509361735
